trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
237,False,"{'a': 0.0035, 'e': 0.4377969765169596}",20,13,-10.059433512691223,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
238,False,"{'a': 0.0035, 'e': 0.43626736547994266}",25,0,3.0558962293588467,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",1
239,False,"{'a': 0.0035, 'e': 0.43474309872360845}",20,0,9.531650533869962,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
240,False,"{'a': 0.0035, 'e': 0.4332241575756701}",20,0,-58.405817969531,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
241,False,"{'a': 0.0035, 'e': 0.43171052342907973}",20,6,-32.45105833951544,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
242,False,"{'a': 0.0035, 'e': 0.43020217774179986}",25,8,-39.87906639317709,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
243,False,"{'a': 0.0035, 'e': 0.42869910203657724}",30,11,11.473330003769833,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
244,False,"{'a': 0.0035, 'e': 0.42720127790071544}",25,0,-4.098689426432783,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
245,False,"{'a': 0.0035, 'e': 0.4257086869858502}",20,7,-5.391086687334755,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.0035, 'e': 0.4242213110077241}",20,12,3.77227847253711,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.0035, 'e': 0.42273913174596284}",20,0,-23.180256358856802,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
248,False,"{'a': 0.0035, 'e': 0.4212621310438519}",20,9,11.07029693198437,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.0035, 'e': 0.41979029080811425}",20,14,8.122835135559784,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.0035, 'e': 0.4183235930086885}",25,0,-87.64603999382307,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
251,False,"{'a': 0.0035, 'e': 0.4168620196785084}",20,2,-59.20054327932669,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
252,False,"{'a': 0.0035, 'e': 0.41540555291328224}",25,16,-2.561520075109789,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.0035, 'e': 0.4139541748712741}",35,0,-92.72829326084249,"{0: 27, 1: 2, 2: 4, 3: 0, 4: 2}",1
254,False,"{'a': 0.0035, 'e': 0.4125078677730846}",20,0,-36.81229186488926,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
255,False,"{'a': 0.0035, 'e': 0.41106661390143395}",20,9,-3.407576152064835,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.0035, 'e': 0.409630395600944}",25,0,-30.68168456201035,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
257,False,"{'a': 0.0035, 'e': 0.4081991952779227}",25,5,-32.48901108993528,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
258,False,"{'a': 0.0035, 'e': 0.40677299540014816}",20,10,-28.580702102040526,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
259,False,"{'a': 0.0035, 'e': 0.405351778496654}",20,8,-42.418262429570674,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
260,False,"{'a': 0.0035, 'e': 0.4039355271575155}",25,0,-62.46084839928179,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
261,False,"{'a': 0.0035, 'e': 0.40252422403363597}",20,8,-22.19093680431424,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
262,False,"{'a': 0.0035, 'e': 0.40111785183653453}",25,2,-11.09509840119711,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
263,False,"{'a': 0.0035, 'e': 0.3997163933381341}",25,14,-16.140151369110434,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
264,False,"{'a': 0.0035, 'e': 0.3983198313705506}",20,2,-1.0356835486503118,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.0035, 'e': 0.39692814882588245}",25,8,-50.371399554495476,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
266,False,"{'a': 0.0035, 'e': 0.39554132865600117}",30,0,-77.77531189236424,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
267,False,"{'a': 0.0035, 'e': 0.3941593538723422}",20,0,4.901092490483562,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
268,False,"{'a': 0.0035, 'e': 0.3927822075456972}",30,10,15.159757904244957,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.0035, 'e': 0.3914098728060065}",20,10,-32.95160853324888,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
270,False,"{'a': 0.0035, 'e': 0.39004233284215234}",30,8,-38.86365975978932,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 0}",1
271,False,"{'a': 0.0035, 'e': 0.388679570901753}",30,4,-16.59924171205731,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 0}",1
272,False,"{'a': 0.0035, 'e': 0.38732157029095776}",25,0,-103.5584996310889,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
273,False,"{'a': 0.0035, 'e': 0.3859683143742421}",25,16,-41.1017280515165,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
274,False,"{'a': 0.0035, 'e': 0.3846197865742042}",20,0,-26.014678008177924,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
275,False,"{'a': 0.0035, 'e': 0.3832759703713615}",25,11,17.941028847931033,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.0035, 'e': 0.3819368493039489}",25,5,2.158729266123756,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
277,False,"{'a': 0.0035, 'e': 0.38060240696771647}",30,16,-14.13112283338197,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
278,False,"{'a': 0.0035, 'e': 0.37927262701572884}",25,0,24.386477221004174,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
279,False,"{'a': 0.0035, 'e': 0.37794749315816506}",30,0,-61.42583464614988,"{0: 24, 1: 2, 2: 1, 3: 2, 4: 1}",0
280,False,"{'a': 0.0035, 'e': 0.3766269891621188}",25,8,16.54699265416105,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
281,False,"{'a': 0.0035, 'e': 0.37531109885139957}",25,0,-58.02892359629724,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
282,False,"{'a': 0.0035, 'e': 0.37399980610633454}",20,12,5.841745108491184,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.0035, 'e': 0.3726930948635714}",25,14,11.491086799086435,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.0035, 'e': 0.37139094911588083}",20,0,9.58659001085073,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
285,False,"{'a': 0.0035, 'e': 0.37009335291196127}",25,13,3.1399655084854303,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
286,False,"{'a': 0.0035, 'e': 0.368800290356243}",20,0,-14.178857148483864,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
287,False,"{'a': 0.0035, 'e': 0.3675117456086935}",25,16,-0.06896549692666198,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.0035, 'e': 0.3662277028846236}",20,7,-13.668743226634923,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
289,False,"{'a': 0.0035, 'e': 0.36494814645449375}",30,4,-91.39715833539638,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 1}",1
290,False,"{'a': 0.0035, 'e': 0.3636730606437217}",30,10,-2.8857175061817015,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
291,False,"{'a': 0.0035, 'e': 0.36240242983249027}",20,0,-35.457836207803936,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
292,False,"{'a': 0.0035, 'e': 0.36113623845555637}",25,0,8.625803287955042,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
293,False,"{'a': 0.0035, 'e': 0.35987447100205955}",30,0,-52.281874588790096,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",1
294,False,"{'a': 0.0035, 'e': 0.35861711201533275}",25,13,-38.94938647649697,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 1}",1
295,False,"{'a': 0.0035, 'e': 0.3573641460927129}",25,0,-85.55779355456791,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
296,False,"{'a': 0.0035, 'e': 0.35611555788535143}",30,0,-37.84464259747779,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
297,False,"{'a': 0.0035, 'e': 0.3548713320980274}",20,0,-13.073390348039634,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
298,False,"{'a': 0.0035, 'e': 0.3536314534889593}",30,0,2.9031037872554726,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
299,False,"{'a': 0.0035, 'e': 0.35239590686961875}",25,1,-45.15651902247492,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 1}",1
300,False,"{'a': 0.0035, 'e': 0.3511646771045441}",25,11,-38.86197988177576,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
301,False,"{'a': 0.0035, 'e': 0.3499377491111553}",30,0,-69.28318366180984,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
302,False,"{'a': 0.0035, 'e': 0.3487151078595692}",25,14,-0.39057310003378887,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.0035, 'e': 0.34749673837241524}",30,2,-36.62035429762578,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 0}",1
304,False,"{'a': 0.0035, 'e': 0.3462826257246518}",25,1,-27.278835668046796,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
305,False,"{'a': 0.0035, 'e': 0.34507275504338375}",25,3,-71.13438070793228,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 1}",1
306,False,"{'a': 0.0035, 'e': 0.34386711150768023}",20,8,12.531158652341631,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.0035, 'e': 0.3426656803483929}",25,9,-2.835516690172308,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
308,False,"{'a': 0.0035, 'e': 0.34146844684797484}",20,0,2.6177223968443135,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
309,False,"{'a': 0.0035, 'e': 0.3402753963403008}",25,9,-30.878400619981683,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
310,False,"{'a': 0.0035, 'e': 0.3390865142104872}",20,14,10.652550979252885,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.0035, 'e': 0.33790178589471304}",25,17,-5.932053776471174,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
312,False,"{'a': 0.0035, 'e': 0.3367211968800416}",25,7,-41.8163550402985,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
313,False,"{'a': 0.0035, 'e': 0.3355447327042427}",20,9,8.778784209113848,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
314,False,"{'a': 0.0035, 'e': 0.3343723789556155}",20,0,29.291682922822194,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
315,False,"{'a': 0.0035, 'e': 0.33320412127281185}",20,0,-29.05381054695913,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
316,False,"{'a': 0.0035, 'e': 0.33203994534466064}",25,4,-33.09892719225745,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
317,False,"{'a': 0.0035, 'e': 0.33087983690999206}",20,7,11.769634305082626,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.0035, 'e': 0.3297237817574635}",20,0,18.285698041640813,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
319,False,"{'a': 0.0035, 'e': 0.3285717657253846}",20,4,-38.460449004938326,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
320,False,"{'a': 0.0035, 'e': 0.3274237747015447}",25,2,7.223149316706229,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
321,False,"{'a': 0.0035, 'e': 0.32627979462303947}",20,0,-16.122624827053528,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
322,False,"{'a': 0.0035, 'e': 0.32513981147609855}",35,20,-23.23208994716458,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
323,False,"{'a': 0.0035, 'e': 0.32400381129591416}",20,8,0.15692526965234643,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
324,False,"{'a': 0.0035, 'e': 0.32287178016646984}",25,10,25.025255187466563,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.0035, 'e': 0.32174370422037013}",20,5,12.080665204573018,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
326,False,"{'a': 0.0035, 'e': 0.32061956963867067}",25,1,-36.07512421567195,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
327,False,"{'a': 0.0035, 'e': 0.31949936265070866}",20,10,-1.8505039381687638,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
